名前,ローマ字,画像
読売ジャイアンツ,yomiuri-giants,http://p.npb.jp/img/common/logo/2018/logo_g_l.gif
東京ヤクルトスワローズ,tokyo-yakult-swallows,http://p.npb.jp/img/common/logo/2018/logo_s_l.gif
横浜DeNAベイスターズ,yokohama-dena-baystars,http://p.npb.jp/img/common/logo/2018/logo_db_l.gif
中日ドラゴンズ,chunichi-dragons,http://p.npb.jp/img/common/logo/2018/logo_d_l.gif
阪神タイガース,hanshin-tigers,http://p.npb.jp/img/common/logo/2018/logo_t_l.gif
広島東洋カープ,hiroshima-toyo-carp,http://p.npb.jp/img/common/logo/2018/logo_c_l.gif
北海道日本ハムファイターズ,hokkaido-nippon-ham-fighters,http://p.npb.jp/img/common/logo/2018/logo_f_l.gif
東北楽天ゴールデンイーグルス,tohoku-rakuten-golden-eagles,http://p.npb.jp/img/common/logo/2018/logo_e_l.gif
埼玉西武ライオンズ,saitama-seibu-lions,http://p.npb.jp/img/common/logo/2018/logo_l_l.gif
千葉ロッテマリーンズ,chiba-lotte-marines,http://p.npb.jp/img/common/logo/2018/logo_m_l.gif
オリックス・バファローズ,orix-buffaloes,http://p.npb.jp/img/common/logo/2018/logo_bs_l.gif
福岡ソフトバンクホークス,fukuoka-softbank-hawks,http://p.npb.jp/img/common/logo/2018/logo_h_l.gif
